round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
5,budget,3,20.0,0.95,0.95,2.703919172231378,0.5333333333333333,40.0
9,max-cover,4,10.0,0.9,0.9,1.64511428936019,0.9,12.0
9,budget,4,10.0,0.95,0.95,1.4569794295091558,0.95,12.0
6,max-cover,3,20.0,0.6666666666666667,0.5666666666666667,1.7526657476879894,0.3333333333333333,44.0
6,budget,3,20.0,0.9833333333333332,0.9833333333333332,1.8003374670386745,0.45,44.0
0,max-cover,5,10.0,0.78,0.78,1.087340444689819,0.78,11.0
0,budget,5,10.0,1.0,1.0,1.1130781758189197,0.98,11.0
7,max-cover,3,20.0,0.65,0.5333333333333333,2.0278885239762205,0.3833333333333334,41.0
7,budget,3,20.0,0.9666666666666668,0.9666666666666668,2.364934487314558,0.5166666666666667,41.0
8,max-cover,3,20.0,0.8,0.5666666666666667,2.0563462964573898,0.4,45.0
8,budget,3,20.0,0.8333333333333334,0.8,2.3653485060954806,0.3833333333333333,45.0
1,max-cover,5,10.0,0.9,0.88,1.302648731549871,0.8800000000000001,11.0
1,budget,5,10.0,0.98,0.98,1.3735108088784482,0.98,11.0
9,max-cover,3,20.0,0.6333333333333333,0.5,2.480840658347923,0.45,38.0
9,budget,3,20.0,0.7166666666666667,0.7166666666666667,2.737788668674124,0.5666666666666667,38.0
2,max-cover,5,10.0,0.86,0.86,1.0094285306913249,0.8399999999999999,12.0
2,budget,5,10.0,1.0,1.0,1.022385507246616,0.96,12.0
0,max-cover,4,20.0,0.75,0.7125,1.8830232606180253,0.575,41.0
0,budget,4,20.0,0.9375,0.9375,2.1081089730910008,0.675,41.0
3,max-cover,5,10.0,0.84,0.84,0.9719980097772902,0.78,15.0
3,budget,5,10.0,0.98,0.98,0.9525681538578622,0.9,15.0
1,max-cover,4,20.0,0.625,0.5625,2.17142794062544,0.475,44.0
1,budget,4,20.0,0.9875,0.9625,2.591816943101357,0.6375,44.0
4,max-cover,5,10.0,0.9,0.9,0.7501651005843811,0.8999999999999998,13.0
4,budget,5,10.0,1.0,1.0,0.7461278985824542,0.94,13.0
2,max-cover,4,20.0,0.6,0.525,2.02449153987424,0.4875,46.0
2,budget,4,20.0,0.925,0.9125,2.5415671225312133,0.5875,46.0
5,max-cover,5,10.0,0.9,0.9,1.3380413286296975,0.8399999999999999,15.0
5,budget,5,10.0,0.98,0.98,1.2944514528688305,0.9,15.0
3,max-cover,4,20.0,0.5875,0.5125,2.3242642057236966,0.425,43.0
3,budget,4,20.0,0.9125,0.8875,2.4305410030189027,0.65,43.0
6,max-cover,5,10.0,0.9,0.9,0.462485603237219,0.8,11.0
6,budget,5,10.0,1.0,1.0,0.4698650994420917,0.98,11.0
4,max-cover,4,20.0,0.65,0.5375,1.961154820582844,0.4875,48.0
4,budget,4,20.0,0.9125,0.8875,2.3876198903088808,0.575,48.0
7,max-cover,5,10.0,0.76,0.76,0.9258867006993354,0.76,10.0
7,budget,5,10.0,1.0,1.0,0.929810453542941,1.0,10.0
5,max-cover,4,20.0,0.8,0.6125,2.182454926665308,0.4875,45.0
5,budget,4,20.0,0.9625,0.925,2.366854318916203,0.6,45.0
8,max-cover,5,10.0,0.9,0.9,0.8476265628193407,0.8,15.0
8,budget,5,10.0,1.0,1.0,0.7848086066156268,0.9,15.0
6,max-cover,4,20.0,0.7875,0.675,1.3927144391335713,0.625,47.0
6,budget,4,20.0,0.7625,0.725,1.5139171014437585,0.5875,47.0
9,max-cover,5,10.0,0.88,0.88,0.8869890645354797,0.8399999999999999,13.0
9,budget,5,10.0,0.98,0.98,0.8640435689236066,0.9399999999999998,13.0
7,max-cover,4,20.0,0.6875,0.575,1.977434941859,0.4125,45.0
7,budget,4,20.0,0.9625,0.95,2.562330294174079,0.625,45.0
8,max-cover,4,20.0,0.725,0.6375,2.7369910746125683,0.5,46.0
8,budget,4,20.0,0.8,0.7875,2.8237217756706645,0.5875,46.0
0,max-cover,6,10.0,0.7666666666666666,0.7666666666666666,0.9218864472822796,0.7666666666666667,15.0
0,budget,6,10.0,0.9333333333333332,0.9333333333333332,0.9014951238497556,0.9166666666666666,15.0
9,max-cover,4,20.0,0.7125,0.6875,1.888070648185426,0.55,46.0
9,budget,4,20.0,0.9375,0.9375,2.022932581781106,0.625,46.0
1,max-cover,6,10.0,0.95,0.95,1.1443614401843458,0.9166666666666669,12.0
1,budget,6,10.0,1.0,1.0,1.1075408426411484,0.9666666666666668,12.0
0,max-cover,5,20.0,0.8200000000000001,0.72,1.6512352712387663,0.58,42.0
0,budget,5,20.0,0.99,0.99,1.6667659524016116,0.7700000000000001,42.0
2,max-cover,6,10.0,0.9833333333333332,0.9833333333333332,0.595038901378281,0.9833333333333332,11.0
2,budget,6,10.0,0.9833333333333332,0.9833333333333332,0.595038901378281,0.9833333333333332,11.0
1,max-cover,5,20.0,0.83,0.81,2.0738984104889675,0.62,36.0
1,budget,5,20.0,0.99,0.99,2.1434290990312097,0.8300000000000001,36.0
3,max-cover,6,10.0,0.9,0.9,0.9514602020784824,0.9,12.0
3,budget,6,10.0,0.9833333333333332,0.9666666666666668,0.9349764170762462,0.9666666666666668,12.0
2,max-cover,5,20.0,0.7,0.65,1.30754799756954,0.63,45.0
2,budget,5,20.0,0.91,0.89,1.587463232304609,0.72,45.0
4,max-cover,6,10.0,0.9333333333333332,0.9333333333333332,0.9466282977723068,0.9166666666666666,11.0
4,budget,6,10.0,0.9833333333333332,0.9833333333333332,0.9192667980964287,0.9833333333333332,11.0
3,max-cover,5,20.0,0.62,0.62,2.008912830288021,0.54,35.0
3,budget,5,20.0,0.96,0.94,2.220281229875268,0.82,35.0
5,max-cover,6,10.0,0.85,0.85,0.6738109887026479,0.8333333333333334,10.0
5,budget,6,10.0,1.0,1.0,0.6608956941625346,1.0,10.0
4,max-cover,5,20.0,0.89,0.84,1.9656055572997533,0.6900000000000001,49.0
4,budget,5,20.0,0.94,0.91,1.8906832136915952,0.65,49.0
6,max-cover,6,10.0,0.9666666666666668,0.9666666666666668,0.8041487616297843,0.95,11.0
6,budget,6,10.0,1.0,1.0,0.8012360141947843,0.9833333333333334,11.0
5,max-cover,5,20.0,0.78,0.77,1.9652092832285888,0.6,49.0
5,budget,5,20.0,0.89,0.84,1.917463480704093,0.6599999999999999,49.0
7,max-cover,6,10.0,0.9166666666666666,0.9166666666666666,0.6754465066669647,0.9166666666666666,10.0
7,budget,6,10.0,1.0,1.0,0.6852815102546371,1.0,10.0
6,max-cover,5,20.0,0.65,0.6,1.7344831676219208,0.56,41.0
6,budget,5,20.0,0.97,0.94,1.8444288731111536,0.7600000000000001,41.0
7,max-cover,5,20.0,0.7,0.6699999999999999,1.634098951993724,0.56,40.0
7,budget,5,20.0,0.97,0.96,1.6405932087160722,0.76,40.0
8,max-cover,6,10.0,0.9,0.9,1.19941620673385,0.8666666666666668,11.0
8,budget,6,10.0,1.0,1.0,1.233130292772486,0.9833333333333334,11.0
8,max-cover,5,20.0,0.81,0.77,1.6212706800478895,0.77,28.0
8,budget,5,20.0,0.99,0.99,1.5695300150850713,0.9200000000000002,28.0
9,max-cover,6,10.0,0.9333333333333332,0.9333333333333332,0.7297998278590884,0.9333333333333332,12.0
9,budget,6,10.0,0.9833333333333332,0.9833333333333332,0.713846681640121,0.9666666666666666,12.0
9,max-cover,5,20.0,0.8200000000000001,0.77,1.9733031938476504,0.59,49.0
9,budget,5,20.0,0.98,0.98,2.042802002020008,0.6599999999999999,49.0
0,max-cover,7,10.0,1.0,1.0,1.0398491057632664,0.9571428571428572,13.0
0,budget,7,10.0,1.0,1.0,1.0398491057632664,0.9571428571428572,13.0
0,max-cover,6,20.0,0.8166666666666667,0.7916666666666666,1.4168628771694178,0.675,34.0
0,budget,6,20.0,1.0,1.0,1.575188169837572,0.8833333333333334,34.0
1,max-cover,7,10.0,0.9142857142857144,0.9142857142857144,0.8604509969280013,0.9142857142857144,10.0
1,budget,7,10.0,1.0,1.0,0.8618780419618888,1.0,10.0
