epoch,dataset,worker,task,k,fairness-pairwise
0,dash,1200,160,13,0.4159114583333333
0,dash,1200,160,14,0.4159114583333333
0,dash,1200,160,15,0.4159114583333333
0,dash,1200,160,16,0.4159114583333333
0,dash,1200,160,17,0.4159114583333333
0,dash,1200,160,18,0.4159114583333333
0,dash,1200,160,19,0.4159114583333333
0,dash,1200,160,20,0.4159114583333333
0,dash,1200,180,0,0.0
0,dash,1200,180,1,0.2982824074074074
0,dash,1200,180,2,0.3904351851851851
0,dash,1200,180,3,0.4073518518518518
0,dash,1200,180,4,0.4073518518518518
0,dash,1200,180,5,0.4073518518518518
0,dash,1200,180,6,0.4073518518518518
0,dash,1200,180,7,0.4073518518518518
0,dash,1200,180,8,0.4073518518518518
0,dash,1200,180,9,0.4073518518518518
0,dash,1200,180,10,0.4073518518518518
0,dash,1200,180,11,0.4073518518518518
0,dash,1200,180,12,0.4073518518518518
0,dash,1200,180,13,0.4073518518518518
0,dash,1200,180,14,0.4073518518518518
0,dash,1200,180,15,0.4073518518518518
0,dash,1200,180,16,0.4073518518518518
0,dash,1200,180,17,0.4073518518518518
0,dash,1200,180,18,0.4073518518518518
0,dash,1200,180,19,0.4073518518518518
0,dash,1200,180,20,0.4073518518518518
0,dash,1200,200,0,0.0
0,dash,1200,200,1,0.27270000000000005
0,dash,1200,200,2,0.3533291666666667
0,dash,1200,200,3,0.3539375
0,dash,1200,200,4,0.3539375
0,dash,1200,200,5,0.3539375
0,dash,1200,200,6,0.3539375
0,dash,1200,200,7,0.3539375
0,dash,1200,200,8,0.3539375
0,dash,1200,200,9,0.3539375
0,dash,1200,200,10,0.3539375
0,dash,1200,200,11,0.3539375
0,dash,1200,200,12,0.3539375
0,dash,1200,200,13,0.3539375
0,dash,1200,200,14,0.3539375
0,dash,1200,200,15,0.3539375
0,dash,1200,200,16,0.3539375
0,dash,1200,200,17,0.3539375
0,dash,1200,200,18,0.3539375
0,dash,1200,200,19,0.3539375
0,dash,1200,200,20,0.3539375
