round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
2,max-cover,3,20,0.25,31.87119738420369,0.25
2,budget,3,20,0.85,39.09465329198984,0.55
4,max-cover,3,10,0.5333333333333333,29.775021874863835,0.5
4,budget,3,10,0.9333333333333332,35.90640589380559,0.8
3,max-cover,3,20,0.2833333333333333,34.79230112847552,0.25
3,budget,3,20,0.9166666666666666,39.11592742440996,0.6166666666666666
0,max-cover,4,10,0.7,33.87072601260365,0.7
0,budget,4,10,1.0,28.834980359617347,0.975
4,max-cover,3,20,0.25,32.94413357432085,0.25
4,budget,3,20,0.9166666666666666,37.579841354052725,0.5333333333333334
1,max-cover,4,10,0.675,32.86680774518803,0.625
1,budget,4,10,0.95,29.248346343786228,0.95
0,max-cover,4,20,0.4875,32.37979090967068,0.3375
0,budget,4,20,0.8875,37.08397361220455,0.5375
2,max-cover,4,10,0.8,33.33884451608158,0.775
2,budget,4,10,0.95,34.28037685911349,0.925
1,max-cover,4,20,0.4875,34.495708772042185,0.375
1,budget,4,20,0.7125,37.07825046290693,0.6125
3,max-cover,4,10,0.4,28.74345598698944,0.4
3,budget,4,10,0.925,33.58520543834858,0.875
2,max-cover,4,20,0.4375,32.106361812074496,0.3875
2,budget,4,20,0.7375,35.28462406049653,0.575
4,max-cover,4,10,0.525,31.08237180134569,0.5
4,budget,4,10,0.975,32.86038552778589,0.95
3,max-cover,4,20,0.3125,31.60951925453553,0.275
3,budget,4,20,0.9125,38.392469950078855,0.675
0,max-cover,5,10,0.76,29.69289505424235,0.76
0,budget,5,10,1.0,27.33840007363964,0.98
4,max-cover,4,20,0.3375,29.998054458644592,0.2875
4,budget,4,20,0.75,36.70570970563549,0.5
1,max-cover,5,10,0.84,26.69302705588862,0.8
1,budget,5,10,1.0,24.5381845702508,0.92
0,max-cover,5,20,0.43,32.658940753690466,0.38
0,budget,5,20,0.9,38.95254061570398,0.78
2,max-cover,5,10,0.76,32.553917475763754,0.76
2,budget,5,10,1.0,27.30540008294696,0.98
1,max-cover,5,20,0.4399999999999999,33.85906202937546,0.41
1,budget,5,20,0.98,38.5185607034917,0.8400000000000001
3,max-cover,5,10,0.88,24.580807388470195,0.86
3,budget,5,10,1.0,20.341707751813672,1.0
2,max-cover,5,20,0.48,30.48480240109177,0.41
2,budget,5,20,0.89,33.94476553557281,0.76
4,max-cover,5,10,0.84,22.87418107785611,0.78
4,budget,5,10,1.0,21.635311048959192,1.0
3,max-cover,5,20,0.48,31.832452554954465,0.44
3,budget,5,20,0.95,34.367399269972815,0.8
0,max-cover,6,10,0.75,30.517907681881308,0.75
0,budget,6,10,0.9833333333333332,22.956489717295582,0.9833333333333334
4,max-cover,5,20,0.37,31.325915336004137,0.3399999999999999
4,budget,5,20,0.97,34.76471952354483,0.6599999999999999
1,max-cover,6,10,0.8,28.142243215386983,0.8
1,budget,6,10,1.0,27.922856717580306,0.9833333333333334
0,max-cover,6,20,0.475,32.934910172832055,0.4416666666666667
0,budget,6,20,0.9166666666666666,37.83995021284433,0.825
2,max-cover,6,10,0.8166666666666667,28.16452147890933,0.7500000000000001
2,budget,6,10,1.0,17.863880935715027,0.9833333333333332
1,max-cover,6,20,0.5583333333333333,31.45926845592073,0.5333333333333333
1,budget,6,20,0.9666666666666668,36.347295570885,0.9166666666666666
3,max-cover,6,10,0.8833333333333333,26.758222015521664,0.8833333333333332
3,budget,6,10,1.0,23.935107523862825,1.0
