round,method,task,worker,avg-quality,avg-utility
4,budget,120,1200,111.94694589926802,0.4740486111111118
4,heuristic,120,1200,101.09394190222164,0.2251805555555555
0,max-cover,60,600,87.58240289767582,0.3628055555555552
0,budget,60,600,106.1566306376692,0.4592499999999995
0,heuristic,60,600,104.46639481023024,0.2756666666666666
1,max-cover,60,600,85.48327061148176,0.3614722222222219
1,budget,60,600,99.52297424979676,0.4385833333333327
1,heuristic,60,600,103.01127347656475,0.2786944444444443
0,max-cover,100,600,68.38083780575573,0.5380333333333334
0,budget,100,600,73.44503842645454,0.6604000000000005
0,heuristic,100,600,75.76225031850498,0.4461499999999999
