round,method,task,worker,fairness-pairwise,avg-quality,avg-utility,turn
3,budget,80,600,0.9233333333333332,0.4107327348689579,0.4452083333333335,27749.0
3,max-cover,80,1200,0.3798125,0.9503244338847846,0.1297708333333333,84151.0
3,budget,80,1200,0.9040833333333332,0.9418148569889544,0.2159687500000001,76615.0
4,max-cover,80,600,0.2388958333333333,0.4664179110192753,0.1499791666666666,42106.0
4,budget,80,600,0.950875,0.4631408178966009,0.4657291666666669,26059.0
4,max-cover,80,1200,0.4291041666666666,1.016921940328799,0.1347812499999999,84647.0
4,budget,80,1200,0.8761770833333333,1.027972140757097,0.2151562500000001,75479.0
0,max-cover,60,600,0.2536111111111111,1.0044775165912947,0.1298055555555556,31251.0
0,budget,60,600,0.9075555555555556,1.0003529139894785,0.3264999999999998,23962.0
0,max-cover,60,1200,0.4355277777777777,1.6276047578612338,0.1054166666666666,63619.0
0,budget,60,1200,0.8746805555555556,1.6068925651218104,0.1592916666666665,60747.0
1,max-cover,60,1200,0.4839027777777778,1.5296512179725816,0.1185972222222222,63025.0
1,budget,60,1200,0.8739722222222223,1.541155692182602,0.1625277777777776,60563.0
1,max-cover,60,600,0.2956944444444445,0.4779647446781238,0.1490277777777778,31439.0
1,budget,60,600,0.9052222222222224,0.4807177816471197,0.3263888888888885,24756.0
2,max-cover,60,1200,0.4477777777777778,1.9730683538789489,0.1135138888888889,64216.0
2,budget,60,1200,0.86425,1.9552089106648296,0.1570833333333333,60716.0
2,max-cover,60,600,0.3375,0.7007374315638891,0.1621111111111111,31517.0
2,budget,60,600,0.8848611111111111,0.6994788838214558,0.3138333333333334,24205.0
3,max-cover,60,1200,0.4926944444444444,2.160652059662515,0.1169444444444444,63318.0
3,budget,60,1200,0.8518749999999999,2.1692908265857085,0.1636944444444442,60511.0
3,max-cover,60,600,0.33375,0.6519029969683741,0.1492777777777778,31505.0
3,budget,60,600,0.9106111111111111,0.6386953083154857,0.3264722222222221,24199.0
4,max-cover,60,1200,0.5437777777777778,1.4341565006546937,0.119375,63477.0
4,budget,60,1200,0.8893194444444444,1.4518309150203548,0.1577916666666665,61520.0
4,max-cover,60,600,0.2314166666666667,0.607833479655223,0.1334722222222222,30585.0
4,budget,60,600,0.9218055555555555,0.6009100975069568,0.331472222222222,24198.0
0,max-cover,100,1200,0.3103916666666666,0.7807628435221515,0.1440249999999999,104715.0
0,budget,100,1200,0.9014,0.7859846484457935,0.2832333333333335,85904.0
0,max-cover,100,600,0.18635,0.2401007062693346,0.1408999999999999,51148.0
0,budget,100,600,0.9474833333333332,0.2370181857293238,0.543166666666667,26256.0
1,max-cover,100,1200,0.3154749999999999,0.794645273918408,0.1379416666666666,104310.0
1,budget,100,1200,0.893075,0.7873684277325613,0.2673583333333334,85576.0
1,max-cover,100,600,0.1666166666666666,0.2716990474676421,0.1371833333333333,52217.0
1,budget,100,600,0.9466333333333332,0.2629285985545316,0.5647833333333339,24861.0
2,max-cover,100,1200,0.3548,0.8883097385101667,0.1519666666666666,103309.0
2,budget,100,1200,0.9094333333333332,0.8764208190198518,0.2770250000000003,89284.0
2,max-cover,100,600,0.1745999999999999,0.4479519893924667,0.1367666666666666,51393.0
2,budget,100,600,0.96385,0.4454216060709388,0.5608833333333338,27088.0
3,max-cover,100,1200,0.2846916666666667,0.7367632328795622,0.1298499999999999,104812.0
3,budget,100,1200,0.9044,0.7367752253137038,0.2772416666666668,89254.0
3,max-cover,100,600,0.1818166666666666,0.5183215971210944,0.1473166666666666,51072.0
3,budget,100,600,0.9681,0.5160647535745841,0.5865333333333339,25741.0
4,max-cover,100,1200,0.3705333333333334,0.9503269736210036,0.1448999999999999,103421.0
4,budget,100,1200,0.8927833333333334,0.9414492736604738,0.2601166666666668,87237.0
4,max-cover,100,600,0.1935666666666666,0.3769906953735274,0.1374833333333333,51550.0
4,budget,100,600,0.9627,0.3750730010922422,0.555166666666667,26653.0
0,max-cover,120,1200,0.2584305555555556,0.6581078270756779,0.139298611111111,122167.0
0,budget,120,1200,0.9184166666666668,0.6606270860894784,0.3397569444444447,95762.0
1,max-cover,120,1200,0.2667083333333333,0.7747617312352578,0.1322083333333332,123399.0
1,budget,120,1200,0.9144791666666666,0.7787491966311477,0.3368611111111114,97593.0
2,max-cover,120,1200,0.2884375,0.5975127068101099,0.1424791666666666,122799.0
