round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
2,heuristic,24,80,0.8604166666666666,1.6385025925673904,0.6947916666666666
3,max-cover,24,80,0.6901041666666667,1.6863402440798745,0.54375
3,budget,24,80,0.9947916666666666,1.689402245351746,0.9442708333333332
3,heuristic,24,80,0.9192708333333334,1.6881929350380656,0.7802083333333335
0,max-cover,24,160,0.7114583333333333,1.8471909374152773,0.35859375
0,budget,24,160,0.9442708333333332,1.94999063575592,0.4598958333333333
0,heuristic,24,160,0.9088541666666666,1.9110645963748067,0.4049479166666667
4,max-cover,24,80,0.6270833333333333,1.2035655316690144,0.4994791666666667
4,budget,24,80,0.9958333333333332,1.1970639006123878,0.9510416666666666
4,heuristic,24,80,0.8609375,1.1991381233790348,0.6880208333333334
1,max-cover,24,160,0.68125,2.854202751781897,0.3825520833333332
1,budget,24,160,0.9059895833333332,2.9781614408891937,0.5388020833333333
1,heuristic,24,160,0.9098958333333332,2.9551011175260693,0.4606770833333334
0,max-cover,28,80,0.6758928571428571,1.495874506278337,0.5575892857142858
0,budget,28,80,0.9995535714285714,1.5003737333799751,0.9857142857142858
0,heuristic,28,80,0.8316964285714286,1.4987011387214753,0.7169642857142859
2,max-cover,24,160,0.7411458333333334,2.006376507874473,0.4138020833333333
2,budget,24,160,0.92734375,2.1389620609943343,0.4976562500000001
2,heuristic,24,160,0.9375,2.089154627466573,0.43671875
1,max-cover,28,80,0.6767857142857143,1.375583109050808,0.5660714285714287
1,budget,28,80,0.9977678571428572,1.358697019019419,0.9763392857142856
1,heuristic,28,80,0.8638392857142857,1.357721172340533,0.6915178571428573
3,max-cover,24,160,0.6606770833333333,2.031128048750877,0.3869791666666666
3,budget,24,160,0.9518229166666666,2.1823957510786776,0.5291666666666667
3,heuristic,24,160,0.9416666666666668,2.1721429735000664,0.4794270833333333
2,max-cover,28,80,0.6040178571428572,0.933980997247974,0.5142857142857145
2,budget,28,80,0.9977678571428572,0.948985376332418,0.9875
2,heuristic,28,80,0.8026785714285715,0.9437109665865692,0.6691964285714287
4,max-cover,24,160,0.6471354166666667,2.2270308173149624,0.353125
4,budget,24,160,0.9486979166666668,2.30547321539596,0.4971354166666668
4,heuristic,24,160,0.9026041666666668,2.311647233239255,0.4546875000000001
3,max-cover,28,80,0.7294642857142857,1.3060311645026048,0.5986607142857143
3,budget,28,80,0.9959821428571428,1.306641134134308,0.972767857142857
3,heuristic,28,80,0.8799107142857143,1.3053656806695912,0.7638392857142857
4,max-cover,28,80,0.7071428571428571,1.1536827577866722,0.6066964285714287
4,budget,28,80,0.9941964285714284,1.151063384167257,0.9584821428571428
4,heuristic,28,80,0.9058035714285716,1.1526212614295646,0.7839285714285715
0,max-cover,28,160,0.6957589285714285,1.337256642005762,0.4482142857142858
0,budget,28,160,0.9194196428571428,1.3448473923266184,0.5506696428571428
0,heuristic,28,160,0.9013392857142856,1.3432056566743018,0.5312499999999998
1,max-cover,28,160,0.7,1.127860600643414,0.4508928571428572
1,budget,28,160,0.9520089285714286,1.1717322363349054,0.5629464285714285
1,heuristic,28,160,0.9366071428571427,1.1656265312176952,0.55625
0,max-cover,32,80,0.663671875,0.7388345475346996,0.59921875
0,budget,32,80,0.998046875,0.7165681446408283,0.981640625
0,heuristic,32,80,0.8546875,0.7170839598918173,0.76796875
1,max-cover,32,80,0.58125,0.697640050811564,0.516796875
1,budget,32,80,0.998046875,0.7042422382856444,0.984375
