round,method,task,worker,fairness-pairwise,avg-quality,avg-utility,turn
2,budget,40,800,0.8336875,6.067902876731811,0.1471562499999999,27415
2,max-cover,40,800,0.5135624999999999,6.015795097298224,0.1168749999999999,27415
2,heuristic,40,800,0.8443125,6.047965972975359,0.15290625,0
3,budget,40,800,0.8935,7.828941048099082,0.1518124999999999,27267
3,max-cover,40,800,0.45821875,7.636485863713567,0.110375,27267
3,heuristic,40,800,0.82075,7.843759294750406,0.1430312499999999,0
4,budget,40,800,0.8236875,7.699131074802752,0.1580312499999999,27072
4,max-cover,40,800,0.5311250000000001,7.738644816622918,0.1150312499999999,27072
4,heuristic,40,800,0.790875,7.701820999672162,0.1504062499999999,0
5,budget,40,800,0.8745625,8.74454373586913,0.1719062499999999,26639
5,max-cover,40,800,0.43859375,8.780815990647238,0.10946875,26639
5,heuristic,40,800,0.7155625,8.748106938709068,0.15103125,0
6,budget,40,800,0.8750625,7.423006627894061,0.1613437499999999,26972
6,max-cover,40,800,0.5291874999999999,7.50366072368683,0.118125,26972
6,heuristic,40,800,0.831875,7.418231642229829,0.16171875,0
7,budget,40,800,0.8238125000000001,10.01417442894846,0.1527499999999999,27239
7,max-cover,40,800,0.4854374999999999,10.028182114709317,0.1138125,27239
7,heuristic,40,800,0.81978125,10.032042492991224,0.15409375,0
8,budget,40,800,0.8164375,10.146947178363163,0.1517187499999999,27270
8,max-cover,40,800,0.4420937499999999,10.08602098691638,0.1060624999999999,27270
8,heuristic,40,800,0.81259375,10.164870541145962,0.1533124999999999,0
9,budget,40,800,0.9024375,4.04539313617422,0.1645937499999999,26867
9,max-cover,40,800,0.42796875,4.083457264492447,0.101875,26867
9,heuristic,40,800,0.7029687499999999,4.026920658941277,0.14034375,0
0,budget,60,800,0.8935625,6.099537385253035,0.2438541666666664,36493
0,max-cover,60,800,0.436875,6.109320233464987,0.1428125,36493
0,heuristic,60,800,0.6253958333333334,6.091731716842751,0.1757916666666666,0
1,budget,60,800,0.9226875,7.171582083630496,0.2461666666666666,36383
1,max-cover,60,800,0.396625,7.66167835072737,0.1349791666666667,36383
1,heuristic,60,800,0.6242708333333333,7.163848374518103,0.1762291666666667,0
2,budget,60,800,0.8777708333333334,3.5562147790515235,0.2417083333333331,36593
2,max-cover,60,800,0.3726041666666666,3.5828056870612683,0.133875,36593
2,heuristic,60,800,0.5588958333333334,3.555687484932936,0.1647291666666666,0
3,budget,60,800,0.8740416666666666,5.712038049694945,0.2278124999999999,37250
3,max-cover,60,800,0.3919375,5.893097192341797,0.1353958333333333,37250
3,heuristic,60,800,0.7070000000000001,5.7185273174804365,0.1862083333333333,0
4,budget,60,800,0.8698958333333333,4.203384060723985,0.2476666666666666,36311
4,max-cover,60,800,0.3270625,4.242150037174167,0.1323333333333333,36311
4,heuristic,60,800,0.5293541666666667,4.215968827675541,0.1681041666666667,0
5,budget,60,800,0.8779375,3.9182897632572926,0.2387916666666665,36732
5,max-cover,60,800,0.3911875,4.045966798940392,0.151875,36732
5,heuristic,60,800,0.6677708333333333,3.900322922360604,0.190125,0
6,budget,60,800,0.8747291666666667,6.444530350754709,0.2307499999999999,37112
6,max-cover,60,800,0.4486666666666666,6.550506431418475,0.1415833333333334,37112
6,heuristic,60,800,0.6166458333333333,6.431856679206425,0.1760208333333333,0
7,budget,60,800,0.8708541666666667,6.779008625736866,0.2464166666666665,36373
7,max-cover,60,800,0.4081041666666667,6.756937052209531,0.1478958333333334,36373
7,heuristic,60,800,0.6390833333333333,6.813937868102718,0.1868958333333333,0
8,budget,60,800,0.899,5.330732229575832,0.2508958333333332,36160
8,max-cover,60,800,0.3436041666666667,5.505425376384898,0.1324583333333334,36160
8,heuristic,60,800,0.6140416666666666,5.320186407851987,0.1832708333333333,0
9,budget,60,800,0.8845625,4.369514892229458,0.2408333333333332,36635
9,max-cover,60,800,0.4037916666666666,4.446254745704668,0.1405416666666667,36635
9,heuristic,60,800,0.6621458333333333,4.375270976165794,0.18525,0
0,budget,80,800,0.908640625,4.4501229140994365,0.3369843750000001,42704
0,max-cover,80,800,0.20725,4.439887194958729,0.1212968749999999,42704
0,heuristic,80,800,0.467234375,4.456024050705705,0.1743124999999999,0
1,budget,80,800,0.919515625,3.509686134620388,0.3269687500000002,43337
1,max-cover,80,800,0.302109375,3.5209175836862387,0.131484375,43337
1,heuristic,80,800,0.469609375,3.511679232154043,0.1734375,0
2,budget,80,800,0.887640625,4.979432560348123,0.3321093750000002,43014
2,max-cover,80,800,0.30559375,5.018418453247869,0.1443593749999999,43014
2,heuristic,80,800,0.47884375,4.991427110556884,0.1902031249999999,0
3,budget,80,800,0.89025,5.198888366191754,0.3305468750000001,43111
3,max-cover,80,800,0.368671875,5.245203509613177,0.1765624999999999,43111
3,heuristic,80,800,0.549375,5.205315496576421,0.213546875,0
4,budget,80,800,0.92434375,3.192562746834016,0.3180781250000001,43899
4,max-cover,80,800,0.281625,3.19153138219478,0.136234375,43899
4,heuristic,80,800,0.4747187499999999,3.194935961478573,0.1758906249999999,0
5,budget,80,800,0.918140625,5.541481648451468,0.3209531250000002,43717
5,max-cover,80,800,0.298734375,5.532382665762215,0.1479374999999999,43717
5,heuristic,80,800,0.503515625,5.530461943670447,0.1854374999999999,0
6,budget,80,800,0.896234375,2.816583061425223,0.3222343750000003,43636
6,max-cover,80,800,0.3495,2.847035054020215,0.1611718749999999,43636
6,heuristic,80,800,0.5644687500000001,2.8232603842023263,0.20484375,0
7,budget,80,800,0.936640625,4.021423686414425,0.3508281250000001,41829
7,max-cover,80,800,0.2347656249999999,4.00772910720276,0.1251874999999999,41829
7,heuristic,80,800,0.4296093749999999,4.026159935915598,0.16975,0
