round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
6,max-cover,2,20,0.2249999999999999,0.2249999999999999,30.328317954441875,0.225,33
6,heuristic,2,20,0.975,0.975,36.58636326394854,0.475,0
8,budget,4,10,1.0,1.0,24.039686832213302,0.95,12
8,max-cover,4,10,0.7,0.65,28.86071296038703,0.575,12
8,heuristic,4,10,1.0,1.0,24.039686832213302,0.95,0
9,budget,4,10,1.0,1.0,21.87184481577193,1.0,10
9,max-cover,4,10,0.775,0.775,25.08121417070988,0.75,10
9,heuristic,4,10,1.0,1.0,21.87184481577193,1.0,0
7,budget,2,20,0.4499999999999999,0.275,30.62524430327634,0.275,35
7,max-cover,2,20,0.15,0.15,24.94632754115407,0.15,35
7,heuristic,2,20,0.925,0.775,34.6832904140424,0.35,0
0,budget,5,10,1.0,1.0,17.141739048643647,0.98,11
0,max-cover,5,10,0.78,0.76,20.41026496108844,0.76,11
0,heuristic,5,10,1.0,1.0,17.141739048643647,0.98,0
8,budget,2,20,0.775,0.65,34.06685568384191,0.375,33
8,max-cover,2,20,0.375,0.3,29.235457920591763,0.3,33
8,heuristic,2,20,0.9,0.825,35.81111159111009,0.3,0
1,budget,5,10,0.98,0.98,16.763012876229872,0.98,11
1,max-cover,5,10,0.76,0.72,22.068302270659807,0.72,11
1,heuristic,5,10,1.0,1.0,17.348888460069613,0.98,0
2,budget,5,10,1.0,1.0,23.53953429074416,0.98,11
2,max-cover,5,10,0.84,0.84,23.316286832897543,0.8399999999999999,11
2,heuristic,5,10,1.0,1.0,23.53953429074416,0.98,0
9,budget,2,20,0.825,0.6,33.06289208293589,0.35,34
9,max-cover,2,20,0.3249999999999999,0.1999999999999999,25.46576028252017,0.2,34
9,heuristic,2,20,0.85,0.725,34.04159638329759,0.375,0
3,budget,5,10,0.94,0.94,23.08445621676534,0.94,13
3,max-cover,5,10,0.64,0.64,23.591595125202414,0.6399999999999999,13
3,heuristic,5,10,1.0,1.0,23.81713673839976,0.92,0
0,budget,3,20,0.7166666666666667,0.6333333333333333,29.825519215826088,0.3666666666666667,47
0,max-cover,3,20,0.35,0.2333333333333332,25.561576486695472,0.2333333333333333,47
0,heuristic,3,20,0.8666666666666667,0.8166666666666667,31.2291216616724,0.45,0
4,budget,5,10,1.0,1.0,16.391424392329945,0.96,12
4,max-cover,5,10,0.86,0.84,16.564868204360966,0.8399999999999999,12
4,heuristic,5,10,1.0,1.0,16.391424392329945,0.96,0
5,budget,5,10,1.0,1.0,17.826309534657817,1.0,10
5,max-cover,5,10,0.98,0.98,19.86383156466629,0.98,10
5,heuristic,5,10,1.0,1.0,17.826309534657817,1.0,0
1,budget,3,20,0.7833333333333333,0.5,33.760572246566305,0.4333333333333334,44
1,max-cover,3,20,0.3333333333333333,0.2833333333333333,25.57275289815716,0.2833333333333333,44
1,heuristic,3,20,1.0,0.9166666666666666,36.79407528307552,0.4833333333333333,0
6,budget,5,10,1.0,1.0,24.505783588368,0.98,11
6,max-cover,5,10,0.54,0.54,21.60334066929248,0.54,11
6,heuristic,5,10,1.0,1.0,24.505783588368,0.98,0
7,budget,5,10,1.0,1.0,22.75849545560693,1.0,10
7,max-cover,5,10,0.88,0.88,24.605903529713736,0.8800000000000001,10
7,heuristic,5,10,1.0,1.0,22.75849545560693,1.0,0
2,budget,3,20,0.7833333333333333,0.5333333333333333,32.07532193641555,0.4166666666666667,44
2,max-cover,3,20,0.4333333333333333,0.35,32.49649383734721,0.35,44
2,heuristic,3,20,0.9666666666666668,0.9666666666666668,35.22040782565252,0.55,0
8,budget,5,10,0.96,0.96,18.6665648081649,0.96,12
8,max-cover,5,10,0.8,0.8,19.894894389057367,0.78,12
8,heuristic,5,10,0.96,0.96,18.6665648081649,0.96,0
3,budget,3,20,0.8333333333333334,0.6333333333333333,32.65286140584836,0.6,37
3,max-cover,3,20,0.35,0.3,30.46557252580925,0.3,37
3,heuristic,3,20,0.95,0.95,33.923216657728155,0.6333333333333332,0
9,budget,5,10,0.92,0.92,26.07294520231205,0.9,15
9,max-cover,5,10,0.8,0.8,25.68797797666226,0.78,15
