method,cost
heuristic,0.7650871454412006
heuristic,0
heuristic,0.31855087281281996
heuristic,0
heuristic,0
heuristic,0.9028942122215589
heuristic,0.5347448086409654
heuristic,0
heuristic,0
heuristic,0.5539268330963063
heuristic,0.5795983935905914
heuristic,0.3597891097848601
heuristic,0.9505171221582889
heuristic,0.2516544760170636
heuristic,0.10929691821610299
heuristic,0.20778633318344597
heuristic,0
heuristic,0
heuristic,0
heuristic,0.11969754077805553
heuristic,0.8193630017293918
heuristic,0.8600967457401232
heuristic,0
heuristic,0.3546148338285854
heuristic,0.8666382890317775
heuristic,0.8134191277876432
heuristic,0.80371049447186
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.4277612409050516
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.7963002298009958
heuristic,0.10016465242116471
heuristic,0.3658255821609778
heuristic,0.9845113521452149
heuristic,0
heuristic,0.6250620656987791
heuristic,0
heuristic,0.9978280519545014
heuristic,0.13441820982463223
heuristic,0
heuristic,0
heuristic,0.676216594446081
heuristic,0
heuristic,0.7868082893445761
heuristic,0.4601527747538492
heuristic,0
heuristic,0.9908001893477989
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.3535302934386234
heuristic,0.9941556331804294
heuristic,0.22375127873002476
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.20218746279941258
heuristic,0
heuristic,0
heuristic,0.20645388076046275
heuristic,0.3307337139925241
heuristic,0
heuristic,0
heuristic,0.25334503212873727
heuristic,0.9851085255075808
heuristic,0.3004468014709736
heuristic,0.9104643504590744
heuristic,0
heuristic,0
heuristic,0.23555551884115525
heuristic,0
heuristic,0
heuristic,0
heuristic,0.5487748671396464
heuristic,0.18930057018758417
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.48942175963610646
heuristic,0
heuristic,0
heuristic,0.3351444929868327
heuristic,0.3096249907085481
heuristic,0
heuristic,0
heuristic,0.21485732162780224
heuristic,0.9831112951756102
heuristic,0.3420941068784101
heuristic,0.5299276063054473
heuristic,0.431290490786825
heuristic,0
heuristic,0
heuristic,0
heuristic,0.43021828296703707
heuristic,0
heuristic,0
heuristic,0.10272501147715896
heuristic,0.10985902821376331
heuristic,0.2755049781612696
heuristic,0
heuristic,0
heuristic,0
heuristic,0.37632527861029047
heuristic,0
heuristic,0
heuristic,0.3306182340163427
heuristic,0.2974112678181689
heuristic,0
heuristic,0
heuristic,0.34268439556424457
heuristic,0
heuristic,0
heuristic,0.4998183153012583
heuristic,0.28074479241761785
heuristic,0.5995545535728932
heuristic,0
heuristic,0.14100141096157617
heuristic,0.43306781273732564
heuristic,0.5738509825829614
heuristic,0.7365706544077728
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.724142476246596
heuristic,0.3732923122915699
heuristic,0.5224957606838321
heuristic,0
heuristic,0.4905330861252224
heuristic,0
heuristic,0
heuristic,0.3255789187864122
heuristic,0.18385971751707078
heuristic,0.39518951134344105
heuristic,0.28567722280271324
heuristic,0.9240138858746274
heuristic,0.3912463899862469
heuristic,0
heuristic,0.9329442345371428
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.5122465689052611
heuristic,0.7877571812745667
heuristic,0.13782295112014273
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.46501499166209637
heuristic,0
heuristic,0
heuristic,0
heuristic,0.735458395724586
heuristic,0.36008185503016066
heuristic,0.3478818480131494
heuristic,0
heuristic,0
heuristic,0.1430892350996018
heuristic,0
