round,method,task,worker,fairness-pairwise,waste-pairwise,avg-density,max-density,min-density,avg-budget
0,budget,10,100,0.8544102019128587,0.1679064824654622,15.928222925318336,45.64872766641165,9.111667931395043,1.0
0,matroid,10,100,0.7757704569606801,0.2125398512221041,11.23571090472214,46.25988098867229,6.043021035533329,1.0
0,heuristic,10,100,0.9691817215727948,0.0,15.815660069277172,46.47118328452149,7.611939908469153,1.0
1,max-cover,10,100,0.763617677286742,0.1695786228160329,9.13599176760694,14.837346085571768,5.406463688904848,1.0
1,budget,10,100,0.8067831449126412,0.1541623843782117,10.660842433822475,14.541215204029676,5.784683328028787,1.0
1,matroid,10,100,0.709146968139774,0.329907502569373,7.426119402471025,14.139377417945283,3.536579237529536,1.0
1,heuristic,10,100,0.94655704008222,0.0411099691675231,9.267157434422018,13.552802087955312,6.043945138149435,1.0
2,max-cover,10,100,0.7987220447284344,0.194888178913738,9.941869093615251,15.349488069652033,6.222315948223742,1.0
2,budget,10,100,0.8839190628328009,0.1054313099041533,11.844158225388275,19.382083508494183,7.906240533972505,1.0
2,matroid,10,100,0.8466453674121406,0.154419595314164,7.513099270057816,10.292824140698636,5.870375487599523,1.0
2,heuristic,10,100,0.845580404685836,0.1352502662406815,8.653390960906457,15.322742989529669,2.303128011187724,1.0
3,max-cover,10,100,0.768888888888889,0.1511111111111111,13.67181980026132,36.11733821207921,6.103126646183987,1.0
3,budget,10,100,0.8688888888888888,0.1033333333333333,13.628693320376744,20.445878115948883,9.989550034431089,1.0
3,matroid,10,100,0.74,0.2711111111111111,9.597655222087331,37.39307909323529,3.9642029055420775,1.0
3,heuristic,10,100,0.9577777777777776,0.0022222222222222,13.578188535739924,35.99973093812702,3.6200770225744057,1.0
4,max-cover,10,100,0.8100987925356751,0.1558726673984632,11.925688532343042,19.081236516523216,9.441937513647735,1.0
4,budget,10,100,0.8715697036223929,0.0790340285400658,14.496750564205795,22.643914388314894,9.15539619308695,1.0
4,matroid,10,100,0.7881448957189902,0.2206366630076838,9.29743217479217,15.08421535455508,5.829533839510806,1.0
4,heuristic,10,100,0.9703622392974752,0.0,13.622688910810393,18.50814857483584,5.334083224481475,1.0
0,max-cover,15,100,0.8116197183098591,0.1434859154929577,9.06417343546379,15.018641251724947,4.195544857039487,1.0
0,budget,15,100,0.9190140845070424,0.0580985915492957,11.895773335364344,24.09843392488936,8.426737351303608,1.0
0,matroid,15,100,0.9066901408450704,0.0924295774647887,8.569752274240876,12.900084711203004,5.333749032252005,1.0
0,heuristic,15,100,0.94806338028169,0.0343309859154929,10.8749224037733,15.717513571852388,5.09962429357943,1.0
1,max-cover,15,100,0.7030769230769232,0.2807692307692307,8.289509745116003,19.326539211127454,1.6501442195659135,1.0
1,budget,15,100,0.8676923076923077,0.1146153846153846,11.726649930092098,18.456259416349088,4.474577229211231,1.0
1,matroid,15,100,0.9130769230769232,0.0992307692307692,8.879576742441195,14.560806365860126,4.171206046639823,1.0
1,heuristic,15,100,0.9830769230769232,0.0,10.726428355130484,15.784042752434647,5.026934653946864,1.0
2,max-cover,15,100,0.8502994011976048,0.1212574850299401,10.380298881402265,22.7663101849026,3.8966999589346862,1.0
2,budget,15,100,0.8817365269461078,0.1025449101796407,11.07431138346828,23.939631948313245,3.600648141455338,1.0
2,matroid,15,100,0.8263473053892215,0.1744011976047904,8.855533636824752,17.778865612820432,3.592004387648357,1.0
2,heuristic,15,100,0.9595808383233532,0.0187125748502994,10.059758803016894,19.227405244878245,2.0297668201505097,1.0
3,max-cover,15,100,0.8030546623794212,0.1784565916398713,10.01665655160846,16.674886235206625,3.720842907753231,1.0
3,budget,15,100,0.8963022508038585,0.0836012861736334,11.290535331660603,18.27288340072468,5.095665452438282,1.0
3,matroid,15,100,0.914790996784566,0.090032154340836,8.968241906239827,15.930024985769286,4.076375399175366,1.0
3,heuristic,15,100,0.9581993569131833,0.020096463022508,10.551151567990672,23.51049950907692,3.1447215331494465,1.0
