round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
4,max-cover,100,1200,0.2981416666666666,5.233962834107527,0.1363166666666666
4,budget,100,1200,0.8997416666666667,5.244712282612063,0.2668000000000001
3,max-cover,120,600,0.1946388888888889,2.904039682757006,0.1619722222222222
3,budget,120,600,0.9717638888888888,2.9049671560068884,0.6611111111111111
0,max-cover,120,1200,0.2804027777777778,4.942586730638306,0.1333888888888888
0,budget,120,1200,0.8981666666666667,4.924455094756541,0.327715277777778
4,max-cover,120,600,0.2139999999999999,2.389674567743641,0.1603749999999999
4,budget,120,600,0.9856944444444444,2.3906070558230232,0.6995833333333334
1,max-cover,120,1200,0.2707708333333333,4.46032958055238,0.1249097222222221
1,budget,120,1200,0.8941736111111112,4.43862658109472,0.3190555555555557
0,max-cover,140,600,0.1634047619047619,1.9877163797052244,0.1392738095238095
0,budget,140,600,0.9922738095238096,1.99058424113462,0.8057499999999992
2,max-cover,120,1200,0.2861041666666667,6.161049086301033,0.1490833333333333
2,budget,120,1200,0.8925763888888889,6.168320596295476,0.3160555555555557
1,max-cover,140,600,0.1987499999999999,3.7162588591578274,0.1687619047619048
1,budget,140,600,0.9883928571428572,3.716060188255101,0.8105476190476179
3,max-cover,120,1200,0.2568333333333333,3.7585252322533913,0.1350902777777776
3,budget,120,1200,0.8979930555555555,3.7577949799372847,0.3305625000000001
2,max-cover,140,600,0.1890714285714285,2.916025436155845,0.1576547619047619
2,budget,140,600,0.9860238095238096,2.914998206285601,0.8043809523809525
4,max-cover,120,1200,0.2753472222222222,4.9361442472860215,0.1355902777777777
4,budget,120,1200,0.9292013888888888,4.912423227159863,0.3372847222222224
3,max-cover,140,600,0.1811904761904762,2.386777590647275,0.1505119047619048
3,budget,140,600,0.9920714285714286,2.3916897746815167,0.8226904761904756
4,max-cover,140,600,0.1740357142857143,2.3491717997419377,0.1378928571428571
4,budget,140,600,0.9928928571428572,2.3372769855686824,0.7976547619047613
0,max-cover,140,1200,0.2175595238095238,4.088536698836772,0.1354464285714285
0,budget,140,1200,0.9381845238095238,4.031101325079424,0.3799523809523807
0,max-cover,160,600,0.1381979166666667,2.27624215153744,0.12078125
0,budget,160,600,0.9968958333333332,2.275775109714208,0.9341041666666656
